user;dt;sale
10;25.08.2024;4419
10;28.08.2024;5006
10;21.09.2024;2522
10;24.01.2025;3822
11;05.12.2023;2181
11;10.12.2023;5814
11;13.12.2023;4751
11;18.12.2023;1716
11;19.12.2023;4532
11;06.02.2024;3791
11;16.02.2024;2377
11;15.03.2024;680
11;21.05.2024;4526
11;20.10.2024;3752
12;09.07.2023;3714
12;11.07.2023;2476
12;12.07.2023;5724
12;13.07.2023;1212
12;15.07.2023;935
12;16.07.2023;4606
12;17.07.2023;1910
12;18.07.2023;4892
12;20.07.2023;5513
12;25.07.2023;4837
12;26.07.2023;4716
12;03.08.2023;959
12;05.08.2023;4193
12;08.08.2023;5648
12;11.08.2023;1579
12;14.08.2023;5862
12;24.08.2023;669
12;28.08.2023;1411
12;03.09.2023;3299
12;10.09.2023;4406
12;12.09.2023;1458
12;17.09.2023;5629
12;19.09.2023;5847
12;22.09.2023;1203
12;23.09.2023;5491
12;24.09.2023;1927
12;26.09.2023;2556
12;01.10.2023;3787
12;03.10.2023;2032
12;12.10.2023;4166
12;15.11.2023;1575
12;04.12.2023;4896
12;11.12.2023;5922
12;18.12.2023;5521
12;27.12.2023;5786
12;26.03.2024;5453
13;07.06.2023;5979
13;10.06.2023;2997
13;11.06.2023;3715
13;12.06.2023;5463
13;14.06.2023;3893
13;18.06.2023;4225
13;20.06.2023;1930
13;22.06.2023;2314
13;23.06.2023;5649
13;03.07.2023;563
13;06.07.2023;2324
13;08.07.2023;5967
13;10.07.2023;4983
13;22.07.2023;5897
13;24.07.2023;2095
13;25.07.2023;4152
13;28.07.2023;4518
13;01.08.2023;2739
13;05.08.2023;2655
13;07.08.2023;2050
13;11.08.2023;1944
13;27.08.2023;1612
13;04.09.2023;715
13;08.09.2023;2234
13;02.10.2023;3595
13;13.10.2023;5815
13;05.11.2023;2809
13;10.01.2024;1768
14;19.02.2023;5114
14;20.02.2023;4630
14;21.02.2023;4554
14;23.02.2023;1708
14;03.03.2023;5787
14;04.03.2023;4959
14;06.03.2023;1478
14;10.03.2023;2778
14;13.03.2023;5055
14;25.03.2023;2216
14;27.03.2023;2185
14;28.03.2023;914
14;29.03.2023;4881
14;03.04.2023;2670
14;06.04.2023;2875
14;13.04.2023;3241
14;18.04.2023;837
14;05.05.2023;3370
14;01.06.2023;2445
14;24.06.2023;4525
14;06.08.2023;2199
14;31.10.2023;4972
15;06.05.2024;4468
15;10.05.2024;5112
15;11.05.2024;3213
15;12.05.2024;1975
15;16.05.2024;3916
15;18.05.2024;3828
15;19.05.2024;1121
15;24.05.2024;4139
15;26.05.2024;5212
15;31.05.2024;4708
15;06.06.2024;4247
15;10.06.2024;4844
15;20.12.2024;4644
16;14.03.2024;2832
16;15.03.2024;5874
16;18.03.2024;1146
16;20.03.2024;4680
16;21.03.2024;5095
16;22.03.2024;1306
16;24.03.2024;5798
16;25.03.2024;4997
16;27.03.2024;2768
16;30.03.2024;977
16;02.04.2024;3437
16;04.04.2024;2626
16;05.04.2024;776
16;06.04.2024;3368
16;07.04.2024;4121
16;09.04.2024;2536
16;10.04.2024;1996
16;22.04.2024;5891
16;27.04.2024;2680
16;01.05.2024;5169
16;02.05.2024;2874
16;06.05.2024;876
16;08.05.2024;5014
16;09.05.2024;2407
16;13.05.2024;620
16;14.05.2024;2334
16;15.05.2024;5551
16;17.05.2024;2638
16;25.05.2024;5029
16;28.05.2024;2763
16;05.06.2024;2696
16;08.06.2024;4351
16;09.06.2024;3480
16;23.06.2024;3260
16;24.06.2024;4176
16;29.06.2024;4541
16;18.07.2024;3432
16;24.07.2024;3382
16;02.08.2024;2278
16;07.08.2024;3251
16;09.08.2024;5215
16;24.08.2024;5795
16;26.08.2024;2348
16;01.09.2024;5355
16;19.09.2024;4125
16;25.09.2024;2396
16;21.10.2024;564
17;30.08.2023;3414
17;31.08.2023;819
17;02.09.2023;3338
17;03.09.2023;5876
17;05.09.2023;951
17;06.09.2023;5117
17;07.09.2023;4551
17;08.09.2023;2993
17;09.09.2023;5394
17;10.09.2023;536
17;12.09.2023;4789
17;15.09.2023;5699
17;20.09.2023;2738
17;30.09.2023;586
17;04.10.2023;1104
17;07.10.2023;2508
17;08.10.2023;1675
17;16.10.2023;1267
17;17.10.2023;4333
17;20.10.2023;3467
17;26.10.2023;4451
17;02.11.2023;952
17;03.11.2023;1305
17;06.11.2023;4833
17;07.11.2023;4756
17;10.11.2023;3460
17;13.11.2023;2812
17;19.11.2023;5339
17;20.11.2023;961
17;22.11.2023;1943
17;10.12.2023;5379
17;15.12.2023;1733
17;29.12.2023;3739
17;05.01.2024;2383
17;23.01.2024;1433
17;24.01.2024;4667
17;29.01.2024;1446
17;08.04.2024;2859
17;06.07.2024;3217
18;23.03.2024;929
18;27.03.2024;3042
18;28.03.2024;3657
18;05.04.2024;5631
18;06.04.2024;2156
18;22.04.2024;5446
18;01.06.2024;1567
18;04.06.2024;4857
18;29.06.2024;4476
18;02.07.2024;5760
18;10.07.2024;4547
18;28.07.2024;3283
18;14.09.2024;1634
19;06.02.2024;1151
19;07.02.2024;718
19;08.02.2024;2944
19;09.02.2024;3893
19;12.02.2024;874
19;13.02.2024;1414
19;14.02.2024;1170
19;17.02.2024;1632
19;18.02.2024;3251
19;20.02.2024;969
19;21.02.2024;3590
19;22.02.2024;581
19;23.02.2024;4811
19;25.02.2024;3956
19;26.02.2024;1894
19;27.02.2024;4485
19;28.02.2024;4912
19;06.03.2024;1463
19;07.03.2024;2221
19;09.03.2024;4103
19;10.03.2024;4732
19;11.03.2024;3209
19;15.03.2024;1643
19;16.03.2024;3955
19;17.03.2024;3233
19;19.03.2024;1561
19;20.03.2024;2721
19;28.03.2024;1353
19;29.03.2024;1237
19;01.04.2024;3940
19;09.04.2024;3416
19;10.04.2024;2745
19;12.04.2024;3555
19;26.04.2024;820
19;27.04.2024;5424
19;07.05.2024;4841
19;08.05.2024;5771
19;10.05.2024;2712
19;28.05.2024;1286
19;02.06.2024;3167
19;04.06.2024;2370
19;02.07.2024;727
19;10.07.2024;3234
19;11.07.2024;5194
19;13.07.2024;2140
19;28.07.2024;2659
19;01.08.2024;1862
19;31.08.2024;5324
20;27.02.2024;4254
20;28.02.2024;3923
20;29.02.2024;4960
20;01.03.2024;4750
20;02.03.2024;5492
20;04.03.2024;2888
20;06.03.2024;2405
20;07.03.2024;2315
20;08.03.2024;5892
20;09.03.2024;4162
20;15.03.2024;1864
20;16.03.2024;1316
20;18.03.2024;2569
20;24.03.2024;5005
20;30.03.2024;3788
20;10.04.2024;1547
20;18.04.2024;1472
20;21.04.2024;3471
20;23.04.2024;5584
20;25.04.2024;560
20;28.04.2024;1972
20;04.05.2024;1489
20;08.05.2024;681
20;09.05.2024;5746
20;19.05.2024;5246
20;20.05.2024;910
20;21.05.2024;4337
20;22.05.2024;5742
20;07.06.2024;3115
20;15.06.2024;1026
20;20.06.2024;3557
20;23.06.2024;2238
20;28.06.2024;1976
20;30.06.2024;2015
20;09.07.2024;2255
20;20.08.2024;5674
20;21.08.2024;5149
20;14.09.2024;3930
20;15.09.2024;4487
20;18.10.2024;2722
20;05.12.2024;1582
21;05.02.2024;5885
21;06.02.2024;1537
21;07.02.2024;2326
21;13.02.2024;1840
21;18.02.2024;1677
21;20.02.2024;1771
21;24.02.2024;5578
21;25.02.2024;3148
21;03.03.2024;3833
21;06.03.2024;1105
21;07.03.2024;4391
21;08.03.2024;5084
21;12.03.2024;3520
21;13.03.2024;3016
21;20.03.2024;4529
21;21.03.2024;1263
21;22.03.2024;3733
21;24.03.2024;3947
21;27.03.2024;5303
21;31.03.2024;1294
21;04.04.2024;2348
21;06.04.2024;576
21;08.04.2024;1998
21;09.04.2024;5463
21;10.04.2024;2055
21;11.04.2024;1330
21;14.04.2024;2093
21;15.04.2024;4722
21;25.04.2024;2051
21;06.05.2024;3387
21;31.05.2024;2315
21;25.06.2024;2847
21;11.07.2024;5892
21;01.09.2024;2890
22;27.07.2023;2102
22;03.08.2023;2789
22;08.08.2023;4993
22;13.11.2023;2637
22;14.12.2023;2236
23;06.09.2023;5157
23;07.09.2023;5480
23;08.09.2023;4994
23;09.09.2023;3133
23;11.09.2023;2246
23;12.09.2023;3335
23;13.09.2023;2197
23;14.09.2023;2950
23;15.09.2023;1198
23;16.09.2023;1644
23;17.09.2023;3156
23;18.09.2023;5844
23;19.09.2023;5455
23;23.09.2023;4553
23;27.09.2023;1296
23;28.09.2023;4256
23;09.10.2023;4448
23;11.10.2023;3256
23;12.10.2023;1103
23;15.10.2023;1090
23;22.10.2023;4044
23;01.11.2023;5695
23;02.11.2023;3814
23;03.11.2023;1013
23;06.11.2023;4404
23;16.11.2023;4614
23;23.11.2023;1644
23;29.11.2023;4617
23;02.12.2023;1367
23;03.12.2023;2689
23;12.12.2023;1573
23;15.12.2023;3484
23;22.12.2023;5990
23;28.12.2023;4451
23;02.01.2024;2405
23;04.01.2024;4236
23;05.01.2024;5003
23;13.01.2024;3766
23;15.01.2024;1882
23;19.01.2024;2818
23;29.01.2024;3440
23;30.01.2024;4698
23;04.04.2024;4690
23;07.04.2024;3237
23;17.08.2024;4252
24;27.03.2024;846
24;29.03.2024;3348
24;30.03.2024;3556
24;31.03.2024;5039
24;04.04.2024;647
24;07.04.2024;5475
24;19.04.2024;4095
24;26.04.2024;5520
24;29.04.2024;2996
24;08.05.2024;2383
24;09.05.2024;2055
24;26.05.2024;1072
24;24.06.2024;5336
24;26.06.2024;5641
24;08.07.2024;675
24;13.08.2024;5315
24;12.10.2024;2198
24;19.11.2024;4971
24;28.11.2024;4992
24;26.12.2024;1733
25;31.07.2023;1693
25;01.08.2023;4677
25;02.08.2023;2419
25;03.08.2023;1941
25;04.08.2023;5792
25;08.08.2023;4567
25;09.08.2023;2795
25;13.08.2023;3846
25;18.08.2023;3285
25;24.08.2023;4867
25;01.09.2023;666
25;03.09.2023;2414
25;05.09.2023;5210
25;27.09.2023;1643
25;07.10.2023;763
25;17.11.2023;5943
26;22.03.2024;4420
26;23.03.2024;994
26;24.03.2024;5178
26;25.03.2024;5872
26;26.03.2024;3140
26;27.03.2024;1298
26;28.03.2024;3073
26;29.03.2024;5765
26;30.03.2024;2351
26;02.04.2024;1806
26;03.04.2024;4742
26;11.04.2024;3716
26;13.04.2024;5439
26;14.04.2024;4260
26;17.04.2024;2209
26;20.04.2024;2189
26;21.04.2024;3885
26;22.04.2024;5315
26;23.04.2024;1076
26;27.04.2024;4843
26;29.04.2024;1496
26;07.05.2024;979
26;12.05.2024;1954
26;15.05.2024;1285
26;23.05.2024;826
26;01.06.2024;4333
26;13.06.2024;5987
26;18.06.2024;5266
26;21.06.2024;2567
26;27.06.2024;1540
26;29.06.2024;1626
26;04.07.2024;1391
26;07.07.2024;4922
26;10.07.2024;2155
26;15.07.2024;3509
26;21.07.2024;2802
26;25.07.2024;4064
26;30.07.2024;3223
26;17.08.2024;2840
26;19.08.2024;2809
26;09.11.2024;770
26;21.01.2025;1757
27;22.04.2023;5892
27;24.04.2023;3249
27;26.04.2023;1616
27;28.04.2023;5072
27;29.04.2023;5315
27;30.04.2023;5115
27;01.05.2023;4278
27;02.05.2023;5700
27;04.05.2023;1042
27;05.05.2023;1805
27;06.05.2023;1762
27;07.05.2023;4805
27;08.05.2023;4445
27;09.05.2023;3656
27;12.05.2023;2346
27;13.05.2023;2375
27;14.05.2023;4768
27;25.05.2023;1822
27;31.05.2023;1567
27;09.06.2023;2743
27;15.06.2023;5903
27;19.06.2023;3970
27;29.06.2023;3043
27;30.06.2023;2779
27;01.07.2023;1845
27;02.07.2023;2914
27;04.07.2023;3965
27;10.07.2023;3009
27;15.07.2023;3239
27;17.07.2023;3093
27;27.07.2023;3142
27;12.08.2023;4682
27;21.08.2023;1971
27;22.08.2023;4674
27;31.08.2023;3126
27;12.09.2023;752
27;15.09.2023;2120
27;26.10.2023;1526
27;23.11.2023;1570
27;25.11.2023;1903
27;10.03.2024;1098
28;30.05.2024;1497
28;01.06.2024;3702
28;02.06.2024;1476
28;03.06.2024;1847
28;05.06.2024;3985
28;08.06.2024;5169
28;15.06.2024;4556
28;23.06.2024;1698
28;25.06.2024;1881
28;29.06.2024;2375
28;01.07.2024;616
28;03.07.2024;4219
28;14.07.2024;2827
28;29.07.2024;3150
28;05.08.2024;3690
28;07.08.2024;2974
28;01.09.2024;1644
28;07.10.2024;1174
28;29.10.2024;4053
28;05.11.2024;2299
28;27.02.2025;5620
28;05.03.2025;3402
28;12.03.2025;4511
29;11.01.2024;3124
29;15.01.2024;5270
29;16.01.2024;4475
29;18.01.2024;4653
29;21.01.2024;4179
29;31.01.2024;4057
29;09.02.2024;4262
29;12.02.2024;4560
29;11.03.2024;5871
29;01.04.2024;2392
29;22.04.2024;5463
29;29.04.2024;1061
29;01.05.2024;4210
29;14.05.2024;4566
29;01.06.2024;3825
29;14.06.2024;3991
29;16.07.2024;5440
29;08.10.2024;3540
30;27.03.2024;3870
30;29.03.2024;2317
30;30.03.2024;2158
30;31.03.2024;5698
30;03.04.2024;1333
30;04.04.2024;2473
30;06.04.2024;3601
30;10.04.2024;627
30;12.04.2024;2815
30;19.04.2024;4638
30;03.05.2024;1026
30;13.05.2024;4713
30;14.05.2024;2651
30;22.05.2024;612
30;31.05.2024;4668
30;06.06.2024;868
30;07.06.2024;1092
30;18.06.2024;560
30;07.07.2024;4175
30;10.07.2024;3649
30;25.07.2024;4714
30;14.10.2024;4008
30;26.10.2024;1109
31;24.02.2023;5183
31;25.02.2023;3224
31;28.02.2023;4252
31;01.03.2023;5517
31;02.03.2023;1947
31;04.03.2023;4514
31;07.03.2023;696
31;08.03.2023;1829
31;09.03.2023;4099
31;17.03.2023;5736
31;21.03.2023;3682
31;04.04.2023;5177
31;06.04.2023;2923
31;10.04.2023;1321
31;12.04.2023;3236
31;13.04.2023;4439
31;14.04.2023;5179
31;17.04.2023;1669
31;01.05.2023;4667
31;13.05.2023;5262
31;18.05.2023;2063
31;19.05.2023;5445
31;24.05.2023;1495
31;27.05.2023;5203
31;11.06.2023;1997
31;12.07.2023;2401
31;24.07.2023;3647
31;17.08.2023;4817
31;04.11.2023;5588
31;23.12.2023;5329
31;30.12.2023;4357
32;04.06.2024;2533
32;06.06.2024;3690
32;07.06.2024;3657
32;11.06.2024;992
32;12.06.2024;2152
32;13.06.2024;807
32;14.06.2024;607
32;18.06.2024;5379
32;24.06.2024;5574
32;27.06.2024;653
32;15.07.2024;4283
32;22.08.2024;4095
32;31.08.2024;5373
32;26.05.2025;1405
33;27.04.2024;1428
33;02.07.2024;4869
33;29.11.2024;5223
34;12.07.2023;3160
34;13.07.2023;5341
34;14.07.2023;5391
34;17.07.2023;1095
34;18.07.2023;5793
34;19.07.2023;1954
34;20.07.2023;4300
34;21.07.2023;5154
34;23.07.2023;5756
34;25.07.2023;4335
34;27.07.2023;3167
34;28.07.2023;4220
34;31.07.2023;4507
34;02.08.2023;4361
34;03.08.2023;2616
34;10.08.2023;5817
34;13.08.2023;2529
34;14.08.2023;5681
34;16.08.2023;3209
34;19.08.2023;2882
34;26.08.2023;2500
34;27.08.2023;2846
34;29.08.2023;1937
34;30.08.2023;808
34;03.09.2023;2355
34;05.09.2023;575
34;06.09.2023;648
34;24.09.2023;536
34;11.10.2023;1310
34;14.10.2023;1878
34;27.10.2023;2507
34;31.10.2023;4147
34;26.11.2023;3111
34;27.11.2023;1241
34;10.12.2023;4946
34;13.12.2023;4326
34;25.12.2023;2134
34;27.12.2023;2099
34;13.02.2024;595
34;15.04.2024;2455
34;16.05.2024;1024
35;27.05.2024;3845
35;28.05.2024;678
35;29.05.2024;2427
35;30.05.2024;508
35;31.05.2024;5324
35;01.06.2024;4294
35;02.06.2024;3345
35;03.06.2024;2414
35;04.06.2024;4066
35;05.06.2024;5783
35;06.06.2024;3858
35;08.06.2024;2185
35;15.06.2024;660
35;17.06.2024;760
35;22.06.2024;3622
35;26.06.2024;4540
35;02.07.2024;5156
35;03.07.2024;4339
35;09.07.2024;5194
35;18.07.2024;5281
35;20.07.2024;897
35;27.07.2024;3756
35;03.08.2024;5403
35;04.08.2024;5984
35;06.08.2024;1834
35;15.08.2024;750
35;16.08.2024;2651
35;09.09.2024;4505
35;10.09.2024;3244
35;16.09.2024;2890
35;30.09.2024;579
35;15.10.2024;2625
35;20.10.2024;2762
35;21.10.2024;2705
35;19.11.2024;4213
35;01.12.2024;5622
35;06.12.2024;5678
35;20.12.2024;5517
35;08.03.2025;3759
36;14.02.2024;3739
36;16.02.2024;5499
36;23.02.2024;2333
36;24.02.2024;3858
36;25.02.2024;2774
36;27.02.2024;3732
36;07.03.2024;1789
36;13.03.2024;1549
36;18.03.2024;3316
36;24.03.2024;4223
36;31.03.2024;2176
36;26.04.2024;3007
36;27.05.2024;4838
36;29.05.2024;1788
37;04.05.2024;5481
37;05.05.2024;2357
37;15.05.2024;2975
37;22.05.2024;888
37;28.05.2024;2467
37;29.05.2024;1295
37;30.05.2024;3829
37;07.06.2024;2779
37;21.08.2024;1057
37;27.08.2024;1277
37;17.09.2024;2717
37;23.09.2024;5805
37;07.10.2024;3873
37;11.10.2024;4857
37;12.10.2024;3891
38;08.01.2024;4529
38;15.01.2024;2368
38;25.01.2024;4984
38;26.01.2024;1679
38;28.01.2024;4202
38;01.03.2024;5926
38;13.03.2024;4985
38;24.03.2024;2152
39;16.03.2023;2985
39;17.03.2023;3925
39;18.03.2023;834
39;19.03.2023;3840
39;20.03.2023;5506
39;21.03.2023;1371
39;24.03.2023;4423
39;25.03.2023;3552
39;26.03.2023;3030
39;27.03.2023;3220
39;29.03.2023;5783
39;31.03.2023;3573
39;02.04.2023;3559
39;04.04.2023;1536
39;05.04.2023;5582
39;06.04.2023;3915
39;07.04.2023;4133
39;09.04.2023;2976
39;11.04.2023;4979
39;17.04.2023;3782
39;18.04.2023;2992
39;20.04.2023;1042
39;22.04.2023;2625
39;23.04.2023;3338
39;28.04.2023;3507
39;06.05.2023;665
39;08.05.2023;3775
39;17.05.2023;5048
39;18.05.2023;1478
39;22.05.2023;1061
39;28.05.2023;4867
39;16.06.2023;4404
39;19.06.2023;1032
39;20.06.2023;4115
39;22.06.2023;5924
39;01.07.2023;4498
39;05.07.2023;3000
39;07.07.2023;2292
39;09.07.2023;4354
39;19.07.2023;5451
39;21.07.2023;2945
39;26.07.2023;5624
39;29.07.2023;2622
39;03.08.2023;5819
39;11.08.2023;923
39;04.09.2023;2528
39;25.09.2023;2767
39;27.09.2023;2421
39;05.10.2023;2930
40;16.08.2023;1833
40;18.08.2023;1461
40;21.08.2023;5849
40;22.08.2023;5057
40;23.08.2023;2673
40;04.09.2023;5326
40;17.09.2023;5975
40;20.09.2023;843
40;24.09.2023;1460
40;01.10.2023;5873
40;06.10.2023;3191
40;20.10.2023;5751
40;27.10.2023;3252
40;01.11.2023;3342
40;04.11.2023;4607
40;15.11.2023;3192
40;08.12.2023;5566
40;22.12.2023;2544
40;02.01.2024;3845
40;17.04.2024;2690
41;24.01.2024;1282
41;26.01.2024;5116
41;29.01.2024;4254
41;01.02.2024;3186
41;03.02.2024;4282
41;11.02.2024;1168
41;15.02.2024;2086
41;16.02.2024;2166
41;26.03.2024;4093
41;02.04.2024;3254
41;04.04.2024;2170
41;18.04.2024;2545
41;26.04.2024;1688
41;29.04.2024;837
41;08.05.2024;1420
41;10.05.2024;4489
41;13.06.2024;4234
41;23.07.2024;3075
42;12.12.2023;1171
42;13.12.2023;5140
42;14.12.2023;1475
42;15.12.2023;5749
42;18.12.2023;979
42;19.12.2023;3258
42;20.12.2023;2767
42;21.12.2023;2499
42;22.12.2023;531
42;23.12.2023;2938
42;25.12.2023;5097
42;28.12.2023;4798
42;29.12.2023;2345
42;05.01.2024;2025
42;10.01.2024;1062
42;11.01.2024;1788
42;13.01.2024;1530
42;16.01.2024;4916
42;18.01.2024;5852
42;20.01.2024;3423
42;22.01.2024;528
42;23.01.2024;4424
42;31.01.2024;4796
42;08.02.2024;1586
42;17.02.2024;584
42;21.02.2024;1589
42;25.02.2024;1810
42;10.03.2024;5559
42;13.03.2024;5660
42;21.03.2024;5586
42;25.03.2024;3139
42;27.03.2024;1053
42;02.04.2024;5808
42;05.04.2024;3533
42;16.04.2024;5374
42;21.04.2024;3671
42;05.05.2024;3474
42;08.05.2024;1655
42;07.06.2024;3532
42;16.06.2024;5454
42;20.06.2024;808
42;28.06.2024;5277
42;04.10.2024;3123
42;29.11.2024;5399
43;09.01.2024;1240
43;10.01.2024;1693
43;12.01.2024;972
43;15.01.2024;1543
43;16.01.2024;1526
43;17.01.2024;944
43;18.01.2024;3810
43;19.01.2024;1832
43;22.01.2024;5911
43;26.01.2024;3743
43;04.02.2024;1413
43;05.02.2024;716
43;16.02.2024;3596
43;17.02.2024;1049
43;25.02.2024;5799
43;01.03.2024;871
43;04.03.2024;3671
43;15.03.2024;2047
43;19.03.2024;1304
43;28.03.2024;4867
43;29.03.2024;5870
43;10.04.2024;5753
43;13.04.2024;3677
43;30.04.2024;5870
43;11.05.2024;4773
43;26.05.2024;710
43;24.07.2024;1598
44;19.05.2024;792
44;20.05.2024;5631
44;21.05.2024;3385
44;22.05.2024;3123
44;24.05.2024;4444
44;25.05.2024;3186
44;29.05.2024;1500
44;30.05.2024;3132
44;31.05.2024;4487
44;04.06.2024;4946
44;06.06.2024;5267
44;08.06.2024;1206
44;09.06.2024;3518
44;19.06.2024;1560
44;21.06.2024;1722
44;22.06.2024;1804
44;23.06.2024;2781
44;25.06.2024;706
44;27.06.2024;3327
44;29.06.2024;4585
44;15.07.2024;4742
44;17.07.2024;1362
44;21.07.2024;5839
